protocol,seed_start,system,source,kmeans_ari,hdbscan_core_ari,ks_excluded_kmeans_ari,n,alpha_mean,beta_mean,z_mean,alpha_std,beta_std,z_std
exp69,70000,eden,results_exp70_matched_codex_sweep_full_exp69_seed70000\summary.json,0.516910506767762,0.6702623502278477,0.3745388184994004,40,0.23515663793623479,0.26573478789306687,0.9060512124530004,0.07394940793038819,0.043640147779123215,0.317846878026998
exp69,70000,rd,results_exp70_matched_codex_sweep_full_exp69_seed70000\summary.json,0.516910506767762,0.6702623502278477,0.3745388184994004,40,0.03189861319642813,0.49330870712509,0.0661512758829041,0.022676646599669597,0.007586579914257997,0.043579732881861295
exp69,70000,ks,results_exp70_matched_codex_sweep_full_exp69_seed70000\summary.json,0.516910506767762,0.6702623502278477,0.3745388184994004,40,4.4080714355676995e-07,5.813035722064732,1.0889276482801326e-06,1.4994043635534772e-05,0.11734046926460837,1.6576400451557034e-06
exp69,71000,ew,results_exp70_matched_codex_sweep_full_exp69_seed71000\summary.json,0.5101695292833434,0.4770684733119813,0.45108132589432226,40,0.5283097409354156,0.24308677270239717,2.197182794321344,0.10328719955571641,0.015553263993433479,0.5110564351919554
exp69,71000,kpz,results_exp70_matched_codex_sweep_full_exp69_seed71000\summary.json,0.5101695292833434,0.4770684733119813,0.45108132589432226,40,0.45178649145876315,0.2817305859725569,1.6032920171021459,0.08242744352282848,0.01206257997835502,0.28046655140158405
exp69,71000,bd,results_exp70_matched_codex_sweep_full_exp69_seed71000\summary.json,0.5101695292833434,0.4770684733119813,0.45108132589432226,40,0.3540582077796236,0.39988894088046,0.9264716752440313,0.05824836387558895,0.06928831342108814,0.2927116797012633
exp69,71000,eden,results_exp70_matched_codex_sweep_full_exp69_seed71000\summary.json,0.5101695292833434,0.4770684733119813,0.45108132589432226,40,0.18126582660039361,0.2537344319286669,0.7151059119403234,0.07514421277297238,0.012189481668655145,0.2940168722511275
exp69,71000,rd,results_exp70_matched_codex_sweep_full_exp69_seed71000\summary.json,0.5101695292833434,0.4770684733119813,0.45108132589432226,40,0.0006269255082075661,0.5011142880298267,0.02993720663797277,0.03633490492820478,0.007316514670836324,0.043989193706744714
exp69,71000,ks,results_exp70_matched_codex_sweep_full_exp69_seed71000\summary.json,0.5101695292833434,0.4770684733119813,0.45108132589432226,40,7.671290860350363e-06,5.881349426607111,1.7478581642284237e-06,1.362857334577619e-05,0.08684826136535655,1.6586024889391597e-06
exp69,72000,ew,results_exp70_matched_codex_sweep_full_exp69_seed72000\summary.json,0.6340482960994152,0.7644045197663174,0.6993545697348706,40,0.5882969857641264,0.24553001809096936,2.4120874858700745,0.11887956023874405,0.014083844865650789,0.5479355605235441
exp69,72000,kpz,results_exp70_matched_codex_sweep_full_exp69_seed72000\summary.json,0.6340482960994152,0.7644045197663174,0.6993545697348706,40,0.2953638009769861,0.3118355992415339,0.9473901160108884,0.07065664663903672,0.016209343040862252,0.22069118849842703
exp69,72000,bd,results_exp70_matched_codex_sweep_full_exp69_seed72000\summary.json,0.6340482960994152,0.7644045197663174,0.6993545697348706,40,0.36218791104229603,0.31781528991603764,1.2355714488972986,0.08911234553882302,0.07880668868533969,0.5026343788396909
exp69,72000,eden,results_exp70_matched_codex_sweep_full_exp69_seed72000\summary.json,0.6340482960994152,0.7644045197663174,0.6993545697348706,40,0.18344614635787967,0.3534609810452853,0.6011855051580678,0.08363308879355642,0.20901007120614218,0.31094945432410454
exp69,72000,rd,results_exp70_matched_codex_sweep_full_exp69_seed72000\summary.json,0.6340482960994152,0.7644045197663174,0.6993545697348706,40,0.035987214420489536,0.5102564229214309,0.0745605387895943,0.03240103415422747,0.013770653474146202,0.05995050816135167
exp69,72000,ks,results_exp70_matched_codex_sweep_full_exp69_seed72000\summary.json,0.6340482960994152,0.7644045197663174,0.6993545697348706,40,-9.918845155508402e-07,5.743164799949733,7.114982587548444e-07,1.1393350905143075e-05,0.07405054464128458,1.1469693944927188e-06
exp69,73000,ew,results_exp70_matched_codex_sweep_full_exp69_seed73000\summary.json,0.43873135913170647,0.49981256497432464,0.45404492023509657,40,0.5123926105561699,0.2554836125385277,2.001262895030048,0.12021871576829314,0.011518686156327305,0.4492762660891403
exp69,73000,kpz,results_exp70_matched_codex_sweep_full_exp69_seed73000\summary.json,0.43873135913170647,0.49981256497432464,0.45404492023509657,40,0.4507637812552344,0.3099347569796097,1.4527711479069285,0.10876909518129475,0.01056790617724524,0.3417154858153269
exp69,73000,bd,results_exp70_matched_codex_sweep_full_exp69_seed73000\summary.json,0.43873135913170647,0.49981256497432464,0.45404492023509657,40,0.3803399330405148,0.36699778828026,1.054456441745859,0.05877527881335151,0.05365967711778576,0.19719357389836664
exp69,73000,eden,results_exp70_matched_codex_sweep_full_exp69_seed73000\summary.json,0.43873135913170647,0.49981256497432464,0.45404492023509657,40,0.1657716524981923,0.35612734899863685,0.575816375361786,0.07683428104108625,0.26232252801648026,0.318459348034672
exp69,73000,rd,results_exp70_matched_codex_sweep_full_exp69_seed73000\summary.json,0.43873135913170647,0.49981256497432464,0.45404492023509657,40,0.0355115011187123,0.4870628009057566,0.08014372526387423,0.03703722086090572,0.010850699465564913,0.06784597886440627
exp69,73000,ks,results_exp70_matched_codex_sweep_full_exp69_seed73000\summary.json,0.43873135913170647,0.49981256497432464,0.45404492023509657,40,-1.2201310902927586e-05,5.868510965949545,4.070318685449268e-08,1.068290415380199e-05,0.05485206582891745,1.3608662877894674e-07
