dataset_id,source,dataset_family,representation,protocol,seed_start,subset,systems,n_samples,n_systems,system_a,system_b,standardized_centroid_distance,same_universality_class
exponent_equal_70000,results_exp70_matched_codex_sweep_full_equal_seed70000\summary.json,effective_exponent,matched effective exponent geometry,equal,70000,no_rd_no_ks,EW/KPZ/BD/Eden,160,4,eden,ew,2.3791,False
exponent_equal_70000,results_exp70_matched_codex_sweep_full_equal_seed70000\summary.json,effective_exponent,matched effective exponent geometry,equal,70000,no_rd_no_ks,EW/KPZ/BD/Eden,160,4,eden,kpz,1.66204,True
exponent_equal_70000,results_exp70_matched_codex_sweep_full_equal_seed70000\summary.json,effective_exponent,matched effective exponent geometry,equal,70000,no_rd_no_ks,EW/KPZ/BD/Eden,160,4,ew,kpz,1.50965,False
exponent_equal_71000,results_exp70_matched_codex_sweep_full_equal_seed71000\summary.json,effective_exponent,matched effective exponent geometry,equal,71000,all_six,EW/KPZ/BD/Eden/RD/KS,240,6,bd,eden,0.260059,True
exponent_equal_71000,results_exp70_matched_codex_sweep_full_equal_seed71000\summary.json,effective_exponent,matched effective exponent geometry,equal,71000,all_six,EW/KPZ/BD/Eden/RD/KS,240,6,bd,ew,1.74027,False
exponent_equal_71000,results_exp70_matched_codex_sweep_full_equal_seed71000\summary.json,effective_exponent,matched effective exponent geometry,equal,71000,all_six,EW/KPZ/BD/Eden/RD/KS,240,6,bd,kpz,1.40258,True
exponent_equal_71000,results_exp70_matched_codex_sweep_full_equal_seed71000\summary.json,effective_exponent,matched effective exponent geometry,equal,71000,all_six,EW/KPZ/BD/Eden/RD/KS,240,6,bd,ks,3.21595,False
exponent_equal_71000,results_exp70_matched_codex_sweep_full_equal_seed71000\summary.json,effective_exponent,matched effective exponent geometry,equal,71000,all_six,EW/KPZ/BD/Eden/RD/KS,240,6,bd,rd,1.71273,False
exponent_equal_71000,results_exp70_matched_codex_sweep_full_equal_seed71000\summary.json,effective_exponent,matched effective exponent geometry,equal,71000,all_six,EW/KPZ/BD/Eden/RD/KS,240,6,eden,ew,1.82609,False
exponent_equal_71000,results_exp70_matched_codex_sweep_full_equal_seed71000\summary.json,effective_exponent,matched effective exponent geometry,equal,71000,all_six,EW/KPZ/BD/Eden/RD/KS,240,6,eden,kpz,1.51766,True
