dataset_id,source,dataset_family,representation,protocol,seed_start,subset,systems,n_samples,n_systems,n_universality_classes,target_label_set,method,requested_n_clusters,status,n_clusters_found,n_noise,ari_universality_all,ari_system_all,nmi_universality_all,nmi_system_all,system_minus_universality_ari_all,ari_universality_core,ari_system_core,system_minus_universality_ari_core
exponent_equal_69000,results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json,effective_exponent,matched effective exponent geometry,equal,69000,no_rd_no_ks,EW/KPZ/BD/Eden,160,4,2,microscopic_system,kmeans,4,ok,4,0,0.269111,0.421232,0.431531,0.475001,0.152121,0.269111,0.421232,0.152121
exponent_equal_69000,results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json,effective_exponent,matched effective exponent geometry,equal,69000,no_rd_no_ks,EW/KPZ/BD/Eden,160,4,2,microscopic_system,gmm_full,4,ok,4,0,0.330918,0.543883,0.535614,0.600475,0.212965,0.330918,0.543883,0.212965
exponent_equal_69000,results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json,effective_exponent,matched effective exponent geometry,equal,69000,no_rd_no_ks,EW/KPZ/BD/Eden,160,4,2,microscopic_system,gmm_diag,4,ok,4,0,0.317626,0.420577,0.457282,0.498835,0.102951,0.317626,0.420577,0.102951
exponent_equal_69000,results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json,effective_exponent,matched effective exponent geometry,equal,69000,no_rd_no_ks,EW/KPZ/BD/Eden,160,4,2,microscopic_system,agglomerative_ward,4,ok,4,0,0.24381,0.347003,0.365327,0.438639,0.103193,0.24381,0.347003,0.103193
exponent_equal_69000,results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json,effective_exponent,matched effective exponent geometry,equal,69000,no_rd_no_ks,EW/KPZ/BD/Eden,160,4,2,microscopic_system,agglomerative_average,4,ok,4,0,0.324937,0.308682,0.398806,0.422076,-0.0162554,0.324937,0.308682,-0.0162554
exponent_equal_69000,results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json,effective_exponent,matched effective exponent geometry,equal,69000,no_rd_no_ks,EW/KPZ/BD/Eden,160,4,2,microscopic_system,agglomerative_complete,4,ok,4,0,0.345221,0.307144,0.410636,0.43693,-0.0380768,0.345221,0.307144,-0.0380768
exponent_equal_69000,results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json,effective_exponent,matched effective exponent geometry,equal,69000,no_rd_no_ks,EW/KPZ/BD/Eden,160,4,2,microscopic_system,spectral_nearest,4,ok,4,0,0.212326,0.399036,0.376866,0.487872,0.18671,0.212326,0.399036,0.18671
exponent_equal_69000,results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json,effective_exponent,matched effective exponent geometry,equal,69000,no_rd_no_ks,EW/KPZ/BD/Eden,160,4,2,microscopic_system,spectral_rbf,4,ok,4,0,0.275382,0.324486,0.411282,0.418789,0.0491038,0.275382,0.324486,0.0491038
exponent_equal_69000,results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json,effective_exponent,matched effective exponent geometry,equal,69000,no_rd_no_ks,EW/KPZ/BD/Eden,160,4,2,variable_density,hdbscan,,ok,2,13,0.733958,0.314158,0.72027,0.490282,-0.419799,0.943644,0.333229,-0.610415
exponent_equal_69000,results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json,effective_exponent,matched effective exponent geometry,equal,69000,ew_kpz_only,EW/KPZ only,80,2,2,universality,kmeans,2,ok,2,0,0.901253,0.901253,0.855769,0.855769,0,0.901253,0.901253,0
exponent_equal_69000,results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json,effective_exponent,matched effective exponent geometry,equal,69000,ew_kpz_only,EW/KPZ only,80,2,2,universality,gmm_full,2,ok,2,0,1,1,1,1,0,1,1,0
exponent_equal_69000,results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json,effective_exponent,matched effective exponent geometry,equal,69000,ew_kpz_only,EW/KPZ only,80,2,2,universality,gmm_diag,2,ok,2,0,0.901253,0.901253,0.855769,0.855769,0,0.901253,0.901253,0
exponent_equal_69000,results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json,effective_exponent,matched effective exponent geometry,equal,69000,ew_kpz_only,EW/KPZ only,80,2,2,universality,agglomerative_ward,2,ok,2,0,1,1,1,1,0,1,1,0
exponent_equal_69000,results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json,effective_exponent,matched effective exponent geometry,equal,69000,ew_kpz_only,EW/KPZ only,80,2,2,universality,agglomerative_average,2,ok,2,0,0.949992,0.949992,0.915425,0.915425,0,0.949992,0.949992,0
exponent_equal_69000,results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json,effective_exponent,matched effective exponent geometry,equal,69000,ew_kpz_only,EW/KPZ only,80,2,2,universality,agglomerative_complete,2,ok,2,0,0.449391,0.449391,0.486409,0.486409,0,0.449391,0.449391,0
exponent_equal_69000,results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json,effective_exponent,matched effective exponent geometry,equal,69000,ew_kpz_only,EW/KPZ only,80,2,2,universality,spectral_nearest,2,ok,2,0,0.949992,0.949992,0.915425,0.915425,0,0.949992,0.949992,0
exponent_equal_69000,results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json,effective_exponent,matched effective exponent geometry,equal,69000,ew_kpz_only,EW/KPZ only,80,2,2,universality,spectral_rbf,2,ok,2,0,0.949992,0.949992,0.915425,0.915425,0,0.949992,0.949992,0
exponent_equal_69000,results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json,effective_exponent,matched effective exponent geometry,equal,69000,ew_kpz_only,EW/KPZ only,80,2,2,microscopic_system,kmeans,2,ok,2,0,0.901253,0.901253,0.855769,0.855769,0,0.901253,0.901253,0
exponent_equal_69000,results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json,effective_exponent,matched effective exponent geometry,equal,69000,ew_kpz_only,EW/KPZ only,80,2,2,microscopic_system,gmm_full,2,ok,2,0,1,1,1,1,0,1,1,0
exponent_equal_69000,results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json,effective_exponent,matched effective exponent geometry,equal,69000,ew_kpz_only,EW/KPZ only,80,2,2,microscopic_system,gmm_diag,2,ok,2,0,0.901253,0.901253,0.855769,0.855769,0,0.901253,0.901253,0
exponent_equal_69000,results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json,effective_exponent,matched effective exponent geometry,equal,69000,ew_kpz_only,EW/KPZ only,80,2,2,microscopic_system,agglomerative_ward,2,ok,2,0,1,1,1,1,0,1,1,0
exponent_equal_69000,results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json,effective_exponent,matched effective exponent geometry,equal,69000,ew_kpz_only,EW/KPZ only,80,2,2,microscopic_system,agglomerative_average,2,ok,2,0,0.949992,0.949992,0.915425,0.915425,0,0.949992,0.949992,0
exponent_equal_69000,results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json,effective_exponent,matched effective exponent geometry,equal,69000,ew_kpz_only,EW/KPZ only,80,2,2,microscopic_system,agglomerative_complete,2,ok,2,0,0.449391,0.449391,0.486409,0.486409,0,0.449391,0.449391,0
exponent_equal_69000,results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json,effective_exponent,matched effective exponent geometry,equal,69000,ew_kpz_only,EW/KPZ only,80,2,2,microscopic_system,spectral_nearest,2,ok,2,0,0.949992,0.949992,0.915425,0.915425,0,0.949992,0.949992,0
exponent_equal_69000,results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json,effective_exponent,matched effective exponent geometry,equal,69000,ew_kpz_only,EW/KPZ only,80,2,2,microscopic_system,spectral_rbf,2,ok,2,0,0.949992,0.949992,0.915425,0.915425,0,0.949992,0.949992,0
exponent_equal_69000,results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json,effective_exponent,matched effective exponent geometry,equal,69000,ew_kpz_only,EW/KPZ only,80,2,2,variable_density,hdbscan,,ok,2,1,0.975305,0.975305,0.959541,0.959541,0,1,1,0
