dataset_id,source,dataset_family,representation,protocol,seed_start,subset,systems,n_samples,n_systems,merge_step,distance,left_cluster,right_cluster,merged_cluster,kpz_systems_inside,non_kpz_systems_inside
exponent_equal_73000,results_exp70_matched_codex_sweep_full_equal_seed73000\summary.json,effective_exponent,matched effective exponent geometry,equal,73000,all_six,EW/KPZ/BD/Eden/RD/KS,240,6,5,3.5453,ks,bd/eden/ew/kpz/rd,bd/eden/ew/kpz/ks/rd,bd/eden/kpz,ew/ks/rd
exponent_equal_73000,results_exp70_matched_codex_sweep_full_equal_seed73000\summary.json,effective_exponent,matched effective exponent geometry,equal,73000,no_ks,EW/KPZ/BD/Eden/RD,200,5,1,0.806304,bd,kpz,bd/kpz,bd/kpz,
exponent_equal_73000,results_exp70_matched_codex_sweep_full_equal_seed73000\summary.json,effective_exponent,matched effective exponent geometry,equal,73000,no_ks,EW/KPZ/BD/Eden/RD,200,5,2,1.30825,ew,bd/kpz,bd/ew/kpz,bd/kpz,ew
exponent_equal_73000,results_exp70_matched_codex_sweep_full_equal_seed73000\summary.json,effective_exponent,matched effective exponent geometry,equal,73000,no_ks,EW/KPZ/BD/Eden/RD,200,5,3,1.91991,eden,bd/ew/kpz,bd/eden/ew/kpz,bd/eden/kpz,ew
exponent_equal_73000,results_exp70_matched_codex_sweep_full_equal_seed73000\summary.json,effective_exponent,matched effective exponent geometry,equal,73000,no_ks,EW/KPZ/BD/Eden/RD,200,5,4,3.09976,rd,bd/eden/ew/kpz,bd/eden/ew/kpz/rd,bd/eden/kpz,ew/rd
exponent_equal_73000,results_exp70_matched_codex_sweep_full_equal_seed73000\summary.json,effective_exponent,matched effective exponent geometry,equal,73000,no_rd,EW/KPZ/BD/Eden/KS,200,5,1,0.742785,bd,kpz,bd/kpz,bd/kpz,
exponent_equal_73000,results_exp70_matched_codex_sweep_full_equal_seed73000\summary.json,effective_exponent,matched effective exponent geometry,equal,73000,no_rd,EW/KPZ/BD/Eden/KS,200,5,2,1.10002,ew,bd/kpz,bd/ew/kpz,bd/kpz,ew
exponent_equal_73000,results_exp70_matched_codex_sweep_full_equal_seed73000\summary.json,effective_exponent,matched effective exponent geometry,equal,73000,no_rd,EW/KPZ/BD/Eden/KS,200,5,3,1.74774,eden,bd/ew/kpz,bd/eden/ew/kpz,bd/eden/kpz,ew
exponent_equal_73000,results_exp70_matched_codex_sweep_full_equal_seed73000\summary.json,effective_exponent,matched effective exponent geometry,equal,73000,no_rd,EW/KPZ/BD/Eden/KS,200,5,4,3.66989,ks,bd/eden/ew/kpz,bd/eden/ew/kpz/ks,bd/eden/kpz,ew/ks
exponent_equal_73000,results_exp70_matched_codex_sweep_full_equal_seed73000\summary.json,effective_exponent,matched effective exponent geometry,equal,73000,no_rd_no_ks,EW/KPZ/BD/Eden,160,4,1,0.989592,bd,kpz,bd/kpz,bd/kpz,
exponent_equal_73000,results_exp70_matched_codex_sweep_full_equal_seed73000\summary.json,effective_exponent,matched effective exponent geometry,equal,73000,no_rd_no_ks,EW/KPZ/BD/Eden,160,4,2,1.63409,ew,bd/kpz,bd/ew/kpz,bd/kpz,ew
exponent_equal_73000,results_exp70_matched_codex_sweep_full_equal_seed73000\summary.json,effective_exponent,matched effective exponent geometry,equal,73000,no_rd_no_ks,EW/KPZ/BD/Eden,160,4,3,2.36423,eden,bd/ew/kpz,bd/eden/ew/kpz,bd/eden/kpz,ew
exponent_exp69_69000,results_exp70_matched_codex_sweep_full_exp69_seed69000\summary.json,effective_exponent,matched effective exponent geometry,exp69,69000,all_six,EW/KPZ/BD/Eden/RD/KS,240,6,1,0.229542,bd,kpz,bd/kpz,bd/kpz,
exponent_exp69_69000,results_exp70_matched_codex_sweep_full_exp69_seed69000\summary.json,effective_exponent,matched effective exponent geometry,exp69,69000,all_six,EW/KPZ/BD/Eden/RD/KS,240,6,2,0.447843,eden,bd/kpz,bd/eden/kpz,bd/eden/kpz,
